2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 100: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 125: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 150: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 175: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 200: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 225: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 250: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 275: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 300: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 325: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 350: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 375: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 400: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 425: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 450: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 475: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 500: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 525: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 550: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 575: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 600: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 625: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 650: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 675: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 700: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 725: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 750: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 775: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 800: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 825: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 850: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 875: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 900: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 925: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 950: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 975: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1000: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1025: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1050: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1075: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1100: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1125: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1150: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1175: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1200: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:45 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1225: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1250: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1275: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1300: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1325: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1350: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1375: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1400: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1425: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1450: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1475: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1500: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1525: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1550: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1575: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1600: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1625: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1650: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1675: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1700: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1725: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1750: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1775: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1800: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1825: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1850: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1875: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1900: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
